Prenom,Nom,CodeCours,NomCours,Session,Note (%)
Ronald,MacDounald,109-910-1MG,Activite physique et sante,1,37
Homer,Simpson,109-910-1MG,Activite physique et sante,1,41
Doctor,Doogie,109-910-1MG,Activite physique et sante,1,87
Jordan,Gauthier,109-910-1MG,Activite physique et sante,1,40
Taylor,Lavoie,109-910-1MG,Activite physique et sante,1,63
Jordan,Bouchard,109-910-1MG,Activite physique et sante,1,51
Jordan,Gagnon,109-910-1MG,Activite physique et sante,1,41
Alex,Morin,109-910-1MG,Activite physique et sante,1,46
Charlie,Lavoie,109-910-1MG,Activite physique et sante,1,83
Casey,Bouchard,109-910-1MG,Activite physique et sante,1,48
Sam,Fortin,109-910-1MG,Activite physique et sante,1,86
Alex,Tremblay,109-910-1MG,Activite physique et sante,1,51
Jamie,Pelletier,109-910-1MG,Activite physique et sante,1,93
Jordan,Lavoie,109-910-1MG,Activite physique et sante,1,45
Jamie,Roy,109-910-1MG,Activite physique et sante,1,46
Casey,Roy,109-910-1MG,Activite physique et sante,1,42
Cameron,Pelletier,109-910-1MG,Activite physique et sante,1,66
Taylor,Gauthier,109-910-1MG,Activite physique et sante,1,96
Casey,Bouchard,109-910-1MG,Activite physique et sante,1,72
Morgan,Lefebvre,109-910-1MG,Activite physique et sante,1,52
Robin,Lavoie,109-910-1MG,Activite physique et sante,1,79
Casey,Gagnon,109-910-1MG,Activite physique et sante,1,47
Alex,Fortin,109-910-1MG,Activite physique et sante,1,76
Morgan,Roy,109-910-1MG,Activite physique et sante,1,64
Charlie,Roy,109-910-1MG,Activite physique et sante,1,95
Alex,Gauthier,109-910-1MG,Activite physique et sante,1,95
Robin,Tremblay,109-910-1MG,Activite physique et sante,1,81
Cameron,Lavoie,109-910-1MG,Activite physique et sante,1,71
Taylor,Lavoie,109-910-1MG,Activite physique et sante,1,44
Casey,Gauthier,109-910-1MG,Activite physique et sante,1,75
Robin,Roy,109-910-1MG,Activite physique et sante,1,80
Jamie,Bouchard,109-910-1MG,Activite physique et sante,1,99
Jamie,Roy,109-910-1MG,Activite physique et sante,1,84
